[1218/151847.981:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.995:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.995:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.995:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.051:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151848.053:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/hospital.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151848.054:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/hospital.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.078:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151848.083:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/auto_service.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151848.083:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/auto_service.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.094:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151848.094:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bench.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151848.110:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bench.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.129:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151848.129:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/warehouse_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151848.129:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/warehouse_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.147:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151848.158:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/ad.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151848.158:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/ad.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.602:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.603:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.605:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.633:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.633:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_green_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.633:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_green_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.658:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.658:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_red_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.658:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_red_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.678:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.678:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_yellow_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.678:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_1_yellow_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.701:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.701:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.701:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.725:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
